name,label,district_key,district,attribute_1,attribute_2,latitude,longitude,source_file,id
pt_00037,Chikwawa - seasonal stream,chikwawa,Chikwawa,seasonal stream,severity=0,-15.964687262813344,34.760330424023046,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00037
pt_00038,Chikwawa - river,chikwawa,Chikwawa,river,severity=0,-15.955711244180144,34.75507468876329,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00038
pt_00039,Chikwawa - high grazing pressure,chikwawa,Chikwawa,high grazing pressure,severity=5,-15.954470599055972,34.761506847679335,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00039
pt_00040,Chikwawa - grazing dispute,chikwawa,Chikwawa,grazing dispute,severity=5,-15.95451545333665,34.76190412845107,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00040
pt_00041,Chikwawa - ridges,chikwawa,Chikwawa,ridges,severity=0,-15.960112690867534,34.75560850977015,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00041
pt_00042,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.960492029926993,34.75730220740861,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00042
pt_00043,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.954416453531524,34.759795592794084,Chikwawa A/Older_Men_Chikwaka_A.shp,pt_00043
pt_00044,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.950816408242709,34.75661047460652,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00044
pt_00045,Chikwawa - water conflict area,chikwawa,Chikwawa,water conflict area,severity=0,-15.951120195900064,34.75752568133385,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00045
pt_00046,Chikwawa - water conflict area,chikwawa,Chikwawa,water conflict area,severity=0,-15.952717566299082,34.75444124488562,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00046
pt_00047,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.951832680292872,34.756764009371736,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00047
pt_00048,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.952958601730147,34.753857040366306,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00048
pt_00049,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.953698049408466,34.754857950207125,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00049
pt_00050,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.95484118036697,34.758081543763325,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00050
pt_00051,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.955453982310326,34.75436643198172,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00051
pt_00052,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=4,-15.956290610163498,34.75541224999164,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00052
pt_00053,Chikwawa - high grazing pressure,chikwawa,Chikwawa,high grazing pressure,severity=0,-15.956405653514995,34.75682937491238,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00053
pt_00054,Chikwawa - seasonal wetlands,chikwawa,Chikwawa,seasonal wetlands,severity=0,-15.95493313626636,34.754840195880455,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00054
pt_00055,Chikwawa - gulley,chikwawa,Chikwawa,gulley,severity=4,-15.950689567718484,34.757973324165825,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00055
pt_00056,Chikwawa - forest loss,chikwawa,Chikwawa,forest loss,severity=0,-15.950632673551931,34.75488095887754,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00056
pt_00057,Chikwawa - erosion,chikwawa,Chikwawa,erosion,severity=4,-15.952637356244278,34.76372130834629,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00057
pt_00058,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.953706631904042,34.76697766270296,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00058
pt_00059,Chikwawa - irrigation,chikwawa,Chikwawa,irrigation,severity=0,-15.954196461655824,34.76787794883053,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00059
pt_00060,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.953599804739545,34.76881822245833,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00060
pt_00061,Chikwawa - water conflict area,chikwawa,Chikwawa,water conflict area,severity=0,-15.953843324322609,34.77021362301093,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00061
pt_00062,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.954457969574216,34.77079961200954,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00062
pt_00063,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.95686010743631,34.77202866066027,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00063
pt_00064,Chikwawa - irrigation,chikwawa,Chikwawa,irrigation,severity=0,-15.95643114607596,34.771346407829995,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00064
pt_00065,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.956811083280842,34.77333188612648,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00065
pt_00066,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.95621053737635,34.772543414292684,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00066
pt_00067,Chikwawa - permanent wetland,chikwawa,Chikwawa,permanent wetland,severity=0,-15.956373951227912,34.772849815264365,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00067
pt_00068,Chikwawa - river bank collapse,chikwawa,Chikwawa,river bank collapse,severity=0,-15.95613291579686,34.77327060593214,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00068
pt_00069,Chikwawa - riparian agriculture,chikwawa,Chikwawa,riparian agriculture,severity=0,-15.95564675958846,34.772510731522374,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00069
pt_00070,Chikwawa - flood,chikwawa,Chikwawa,flood,severity=5,-15.955540213757244,34.771910512445594,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00070
pt_00071,Chikwawa - fertility loss,chikwawa,Chikwawa,fertility loss,severity=0,-15.95023776110177,34.765896882708134,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00071
pt_00072,Chikwawa - riparian agriculture,chikwawa,Chikwawa,riparian agriculture,severity=0,-15.950373721426269,34.76634659762763,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00072
pt_00073,Chikwawa - river bank collapse,chikwawa,Chikwawa,river bank collapse,severity=0,-15.950862655670145,34.767300934520755,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00073
pt_00074,Chikwawa - yield decline,chikwawa,Chikwawa,yield decline,severity=0,-15.951270536643646,34.76485626330138,Chikwawa A/Older_Women_Chikwaka_A.shp,pt_00074
